iter	RMSE
0	0.3936360997
1	0.3866815196
2	0.3795178525
3	0.3729722623
4	0.3654991751
5	0.3590583316
6	0.3527399619
7	0.3479277779
8	0.3422735594
9	0.3372941278
10	0.3326150159
11	0.327918371
12	0.3238952853
13	0.3204087588
14	0.3171746632
15	0.3139294422
16	0.3108794212
17	0.3075719114
18	0.3051546573
19	0.3021578148
20	0.3001620307
21	0.2973575726
22	0.2950703792
23	0.2931852714
24	0.2913653297
25	0.2895344087
26	0.2874480472
27	0.2854079145
28	0.2836206987
29	0.2821400687
30	0.2808327401
31	0.2792962439
32	0.2779936653
33	0.2767274451
34	0.2756674394
35	0.2745397676
36	0.2735601424
37	0.2719277217
38	0.2707958323
39	0.2697189605
40	0.2686051994
41	0.2673034861
42	0.2665874019
43	0.2658884689
44	0.2654022748
45	0.2646892443
46	0.2636440309
47	0.2628525427
48	0.2619495473
49	0.2609276103
50	0.2601975244
51	0.2596827852
52	0.2592845135
53	0.2586465857
54	0.2581488828
55	0.2574505908
56	0.2566358991
57	0.2558513566
58	0.2553642667
59	0.2550464089
60	0.2542198432
61	0.2536456323
62	0.253007249
63	0.2526557057
64	0.2522961121
65	0.2517748774
66	0.2511982516
67	0.2508318078
68	0.2506929083
69	0.2501286815
70	0.2496365007
71	0.2490822232
72	0.2485479943
73	0.2480441182
74	0.2477648169
75	0.247346452
76	0.2469925849
77	0.2461490175
78	0.245785122
79	0.2451154462
80	0.2443456875
81	0.2438640539
82	0.2431128024
83	0.2425566824
84	0.2417718882
85	0.241122373
86	0.2406687065
87	0.2403378531
88	0.239988386
89	0.2392841666
90	0.2389665836
91	0.2386510705
92	0.2383346592
93	0.2379624534
94	0.2376224617
95	0.2369089302
96	0.2364151192
97	0.2358496908
98	0.2355351009
99	0.2352060739
