iter	Passed	Remaining
0	144	14260
1	156	7665
2	169	5464
3	182	4390
4	187	3567
5	200	3133
6	208	2776
7	225	2587
8	239	2425
9	241	2171
10	256	2073
11	261	1914
12	274	1834
13	289	1779
14	302	1715
15	304	1598
16	318	1554
17	320	1461
18	335	1431
19	348	1393
20	350	1320
21	364	1291
22	377	1262
23	377	1196
24	392	1176
25	406	1157
26	421	1139
27	435	1120
28	449	1100
29	461	1077
30	478	1063
31	490	1043
32	505	1027
33	520	1009
34	536	995
35	549	976
36	563	959
37	579	944
38	590	923
39	605	908
40	606	872
41	622	859
42	636	843
43	649	827
44	666	814
45	669	786
46	684	771
47	698	756
48	713	742
49	727	727
50	741	712
51	755	697
52	772	685
53	775	660
54	789	646
55	794	624
56	809	610
57	822	595
58	835	580
59	851	567
60	865	553
61	878	538
62	893	524
63	908	511
64	924	498
65	940	484
66	954	470
67	969	456
68	983	441
69	996	427
70	1010	412
71	1023	397
72	1039	384
73	1039	365
74	1052	350
75	1066	336
76	1081	323
77	1094	308
78	1107	294
79	1120	280
80	1134	266
81	1150	252
82	1165	238
83	1177	224
84	1192	210
85	1209	196
86	1223	182
87	1239	168
88	1255	155
89	1270	141
90	1285	127
91	1300	113
92	1314	98
93	1328	84
94	1342	70
95	1356	56
96	1372	42
97	1388	28
98	1403	14
99	1418	0
